"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample3","","","","test_addition[4-4]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample2","","","","test_sum3",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_fixtures","","","","test_m1",""
"skipped","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample1","","","","test_sum2_1",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","43","tests","test_dataHandling","","","","test_handlingExcel",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","2","","test_fixtures","","","","test_m3",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_fixtures","","","","test_m2",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","1","tests","test_dataHandling","","","","test_jsonhandling",""
"broken","Sun Jun 07 14:59:37 UTC 2026","Sun Jun 07 15:00:08 UTC 2026","30953","tests","test_login","","","","test_positiveLogin[chromium]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample1","","","","test_sum",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample2","","","","test_sum4",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample1","","","","test_sum2",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","2","","test_sample3","","","","test_addition[2-4]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample1","","","","test_sum2_2",""
"broken","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","tests","test_results","","","","test_validatingCartCount[chromium]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","tests","test_dataHandling","","","","test_jsonFromUtils2",""
"broken","Sun Jun 07 15:00:09 UTC 2026","Sun Jun 07 15:00:09 UTC 2026","0","tests","test_results","","","","test_validatingCartCount_1[chromium]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","1","tests","test_dataHandling","","","","test_writingCsv",""
"skipped","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","","test_sample2","","","","test_sum5",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","1","","test_sample3","","","","test_addition[3-4]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","tests","test_dataHandling","","","","test_handlingCsv",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","1","tests","test_dataHandling","","","","test_jsonFromUtils",""
"passed","Sun Jun 07 14:59:37 UTC 2026","Sun Jun 07 14:59:38 UTC 2026","973","tests","test_login","","","","test_email_negitiveLogin[chromium]",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","tests","test_dataHandling","","","","test_env",""
"passed","Sun Jun 07 14:59:32 UTC 2026","Sun Jun 07 14:59:32 UTC 2026","0","tests","test_dataHandling","","","","test_cli",""
"passed","Sun Jun 07 14:59:37 UTC 2026","Sun Jun 07 14:59:38 UTC 2026","209","tests","test_home","","","","test_validateTehVisibilityOfSearchBox[chromium]",""
